2025-09-15 15:11:01 | lr:1e-05 | seed:1 | epoch 17: | Train_loss: 0.8882, | Train_acc: 80.12%, Val_acc: 74.2046%(correct=6366829, total=8580096)
2025-09-15 15:11:03 | lr:1e-05 | seed:1 | epoch 18: | Train_loss: 0.8340, | Train_acc: 80.32%, Val_acc: 74.2301%(correct=6369010, total=8580096)
2025-09-15 15:11:06 | lr:1e-05 | seed:1 | epoch 19: | Train_loss: 0.8294, | Train_acc: 80.17%, Val_acc: 74.2463%(correct=6370403, total=8580096)
2025-09-15 15:11:09 | lr:1e-05 | seed:1 | epoch 20: | Train_loss: 0.8316, | Train_acc: 80.49%, Val_acc: 74.2182%(correct=6367996, total=8580096)
2025-09-15 15:11:11 | lr:1e-05 | seed:1 | epoch 21: | Train_loss: 0.8219, | Train_acc: 80.45%, Val_acc: 74.2440%(correct=6370209, total=8580096)
2025-09-15 15:11:14 | lr:1e-05 | seed:1 | epoch 22: | Train_loss: 0.8115, | Train_acc: 80.59%, Val_acc: 74.2232%(correct=6368425, total=8580096)
2025-09-15 15:11:17 | lr:1e-05 | seed:1 | epoch 23: | Train_loss: 0.8112, | Train_acc: 80.65%, Val_acc: 73.8722%(correct=6338309, total=8580096)
2025-09-15 15:11:19 | lr:1e-05 | seed:1 | epoch 24: | Train_loss: 0.8050, | Train_acc: 80.47%, Val_acc: 74.0562%(correct=6354089, total=8580096)
2025-09-15 15:11:23 | lr:1e-05 | seed:1 | epoch 25: | Train_loss: 0.8008, | Train_acc: 80.71%, Val_acc: 74.2068%(correct=6367014, total=8580096)
2025-09-15 15:11:25 | lr:1e-05 | seed:1 | epoch 26: | Train_loss: 0.7992, | Train_acc: 80.94%, Val_acc: 74.2419%(correct=6370030, total=8580096)
2025-09-15 15:11:28 | lr:1e-05 | seed:1 | epoch 27: | Train_loss: 0.8093, | Train_acc: 80.70%, Val_acc: 74.2378%(correct=6369675, total=8580096)
2025-09-15 15:11:31 | lr:1e-05 | seed:1 | epoch 28: | Train_loss: 0.8047, | Train_acc: 80.77%, Val_acc: 74.2271%(correct=6368753, total=8580096)
2025-09-15 15:11:33 | lr:1e-05 | seed:1 | epoch 29: | Train_loss: 0.7996, | Train_acc: 80.88%, Val_acc: 74.2249%(correct=6368569, total=8580096)
2025-09-15 15:11:36 | lr:1e-05 | seed:1 | epoch 30: | Train_loss: 0.7990, | Train_acc: 80.89%, Val_acc: 74.2249%(correct=6368569, total=8580096)
2025-09-15 15:11:43 | lr:1e-06 | seed:1 | epoch 0: | Train_loss: 2.9344, | Train_acc: 16.17%, Val_acc: 27.7634%(correct=2382127, total=8580096)
2025-09-15 15:11:46 | lr:1e-06 | seed:1 | epoch 1: | Train_loss: 2.3660, | Train_acc: 42.01%, Val_acc: 47.3471%(correct=4062424, total=8580096)
2025-09-15 15:11:49 | lr:1e-06 | seed:1 | epoch 2: | Train_loss: 1.9653, | Train_acc: 58.49%, Val_acc: 59.5765%(correct=5111724, total=8580096)
2025-09-15 15:11:51 | lr:1e-06 | seed:1 | epoch 3: | Train_loss: 1.7177, | Train_acc: 68.38%, Val_acc: 66.2003%(correct=5680053, total=8580096)
2025-09-15 15:11:54 | lr:1e-06 | seed:1 | epoch 4: | Train_loss: 1.5657, | Train_acc: 73.27%, Val_acc: 69.3533%(correct=5950580, total=8580096)
2025-09-15 15:11:57 | lr:1e-06 | seed:1 | epoch 5: | Train_loss: 1.4274, | Train_acc: 75.63%, Val_acc: 71.0336%(correct=6094751, total=8580096)
2025-09-15 15:12:00 | lr:1e-06 | seed:1 | epoch 6: | Train_loss: 1.3331, | Train_acc: 76.94%, Val_acc: 71.9494%(correct=6173325, total=8580096)
2025-09-15 15:12:03 | lr:1e-06 | seed:1 | epoch 7: | Train_loss: 1.2794, | Train_acc: 77.75%, Val_acc: 72.5851%(correct=6227873, total=8580096)
2025-09-15 15:12:05 | lr:1e-06 | seed:1 | epoch 8: | Train_loss: 1.2247, | Train_acc: 78.23%, Val_acc: 73.0240%(correct=6265532, total=8580096)
2025-09-15 15:12:08 | lr:1e-06 | seed:1 | epoch 9: | Train_loss: 1.1906, | Train_acc: 78.58%, Val_acc: 73.3810%(correct=6296162, total=8580096)
2025-09-15 15:12:11 | lr:1e-06 | seed:1 | epoch 10: | Train_loss: 1.1691, | Train_acc: 78.90%, Val_acc: 73.5518%(correct=6310811, total=8580096)
2025-09-15 15:12:14 | lr:1e-06 | seed:1 | epoch 11: | Train_loss: 1.1444, | Train_acc: 78.97%, Val_acc: 73.7022%(correct=6323717, total=8580096)
2025-09-15 15:12:16 | lr:1e-06 | seed:1 | epoch 12: | Train_loss: 1.1356, | Train_acc: 79.24%, Val_acc: 73.7218%(correct=6325398, total=8580096)
2025-09-15 15:12:19 | lr:1e-06 | seed:1 | epoch 13: | Train_loss: 1.1105, | Train_acc: 79.16%, Val_acc: 73.8576%(correct=6337057, total=8580096)
2025-09-15 15:12:22 | lr:1e-06 | seed:1 | epoch 14: | Train_loss: 1.1076, | Train_acc: 79.38%, Val_acc: 73.9436%(correct=6344430, total=8580096)
2025-09-15 15:12:24 | lr:1e-06 | seed:1 | epoch 15: | Train_loss: 1.1139, | Train_acc: 79.49%, Val_acc: 73.9881%(correct=6348254, total=8580096)
2025-09-15 15:12:26 | lr:1e-06 | seed:1 | epoch 16: | Train_loss: 1.0898, | Train_acc: 79.47%, Val_acc: 74.0204%(correct=6351025, total=8580096)
2025-09-15 15:12:29 | lr:1e-06 | seed:1 | epoch 17: | Train_loss: 1.0928, | Train_acc: 79.56%, Val_acc: 74.0530%(correct=6353820, total=8580096)
2025-09-15 15:12:31 | lr:1e-06 | seed:1 | epoch 18: | Train_loss: 1.0939, | Train_acc: 79.61%, Val_acc: 74.0767%(correct=6355854, total=8580096)
2025-09-15 15:12:34 | lr:1e-06 | seed:1 | epoch 19: | Train_loss: 1.0844, | Train_acc: 79.60%, Val_acc: 74.0935%(correct=6357294, total=8580096)
2025-09-15 15:12:37 | lr:1e-06 | seed:1 | epoch 20: | Train_loss: 1.0811, | Train_acc: 79.63%, Val_acc: 74.1080%(correct=6358540, total=8580096)
2025-09-15 15:12:39 | lr:1e-06 | seed:1 | epoch 21: | Train_loss: 1.0766, | Train_acc: 79.63%, Val_acc: 74.1103%(correct=6358737, total=8580096)
2025-09-15 15:12:42 | lr:1e-06 | seed:1 | epoch 22: | Train_loss: 1.0675, | Train_acc: 79.62%, Val_acc: 74.1155%(correct=6359177, total=8580096)
2025-09-15 15:12:45 | lr:1e-06 | seed:1 | epoch 23: | Train_loss: 1.0658, | Train_acc: 79.62%, Val_acc: 74.1189%(correct=6359472, total=8580096)
2025-09-15 15:12:48 | lr:1e-06 | seed:1 | epoch 24: | Train_loss: 1.0586, | Train_acc: 79.59%, Val_acc: 74.1193%(correct=6359503, total=8580096)
2025-09-15 15:12:51 | lr:1e-06 | seed:1 | epoch 25: | Train_loss: 1.0607, | Train_acc: 79.63%, Val_acc: 74.1229%(correct=6359815, total=8580096)
2025-09-15 15:12:54 | lr:1e-06 | seed:1 | epoch 26: | Train_loss: 1.0581, | Train_acc: 79.62%, Val_acc: 74.1235%(correct=6359871, total=8580096)
2025-09-15 15:12:56 | lr:1e-06 | seed:1 | epoch 27: | Train_loss: 1.0566, | Train_acc: 79.61%, Val_acc: 74.1222%(correct=6359753, total=8580096)
2025-09-15 15:12:59 | lr:1e-06 | seed:1 | epoch 28: | Train_loss: 1.0556, | Train_acc: 79.61%, Val_acc: 74.1218%(correct=6359722, total=8580096)
2025-09-15 15:13:02 | lr:1e-06 | seed:1 | epoch 29: | Train_loss: 1.0552, | Train_acc: 79.61%, Val_acc: 74.1220%(correct=6359737, total=8580096)
2025-09-15 15:13:05 | lr:1e-06 | seed:1 | epoch 30: | Train_loss: 1.0552, | Train_acc: 79.61%, Val_acc: 74.1220%(correct=6359737, total=8580096)
2025-09-15 15:13:12 | lr:1e-07 | seed:1 | epoch 0: | Train_loss: 3.0802, | Train_acc: 5.82%, Val_acc: 6.3741%(correct=546906, total=8580096)
2025-09-15 15:13:14 | lr:1e-07 | seed:1 | epoch 1: | Train_loss: 3.0507, | Train_acc: 6.86%, Val_acc: 7.4637%(correct=640396, total=8580096)
2025-09-15 15:13:17 | lr:1e-07 | seed:1 | epoch 2: | Train_loss: 3.0247, | Train_acc: 8.13%, Val_acc: 8.7002%(correct=746488, total=8580096)
2025-09-15 15:13:20 | lr:1e-07 | seed:1 | epoch 3: | Train_loss: 3.0013, | Train_acc: 9.54%, Val_acc: 10.0213%(correct=859836, total=8580096)
